,symbol,y,price
0,$MONG,21.55175572926889,9.47364406614088e-09
1,0x0,13.899053769548749,0.1094781653400752
2,10SET,16.29478813395376,0.5290519827085803
3,3ULL,14.174749296756488,0.0082433524789501
4,ACA,13.81217764842046,0.0695325366804857
5,ACS,-1.2474216237961284,0.0023911229678499
6,ADA,13.79513502954028,0.4273622052034944
7,ADP,-3.236211487044477,0.0015649606550541
8,ADS,-7.191656554767593,0.5329639109638704
9,ADX,13.85021977034858,0.1724466004123411
10,AFC,14.347172125257387,1.556475452105315
11,AGLD,14.059535038844825,1.1764348200978012
12,AGRS,14.059535038844825,7.222157497658749
13,AHT,13.744014635082396,0.0079869177317898
14,AIDOGE,16.381442965917685,1.6101245077831e-10
15,AIOZ,16.045996706926477,0.1394382149865859
16,AITECH,-0.0760820217542038,0.0264302708276763
17,AKITA,21.55175572926889,1.2212499722765777e-07
18,AKRO,-3.221802414568616,0.0058359142239531
19,AKT,10.27325836241176,1.7807616085626812
20,ALGB,13.728105429108782,0.0280509108871619
21,ALI,14.051020880570931,0.0231858774065813
22,ALPACA,16.339555994226856,0.1973265679930331
23,ALT,-2.9868612525588554,0.2258176015522396
24,AMO,12.63894391202089,0.0004708398517902
25,AMP,14.952152939253429,0.0026094192060928
26,AMPL,21.55175572926889,1.4457922044479283
27,ANT,16.382167771384857,5.7786636830669496
28,AOG,12.565958609905763,0.6481059627638369
29,APE,10.911286268668084,1.6336264903418136
30,ARDR,13.842092946614311,0.1074417668088374
31,ARG,10.387105363981735,0.7810698576422883
32,ARIX,-6.995225392625639,0.3722010215935551
33,ARKM,16.381442965917685,0.5329681871581107
34,ARPA,13.791132446661615,0.0521601847479155
35,ARRR,13.79513502954028,0.2107991251175178
36,ARV,-7.191656554767593,3.648877245558191e-05
37,ASK,14.075289312485175,0.0003571287199727
38,ASM,-5.157185630267164,0.0388010136270822
39,ASTRAFER,-5.155534578937258,0.6490334224346741
40,ATM,7.114185301171062,2.750647932468596
41,ATOM,16.290535074124286,9.806224586202909
42,ATOR,-6.995225392625639,0.9012432417837628
43,AURA,19.488955414003645,0.985432192653059
44,AVA,16.427000773182158,0.5767979570867529
45,AVAX,14.059535038844825,25.79155648929427
46,AVT,14.059535038844825,1.424093579029646
47,AXEL,-6.995225392625639,0.1392475162976555
48,AXS,13.820810900618987,7.174786411028983
49,BABY,11.543426249009284,0.0105296625107095
50,BAD,21.55175572926889,3.7028317209758535e-08
51,BADGER,14.059535038844825,4.903170034741714
52,BAKE,14.059535038844825,0.3105415425072524
53,BAN,-1.443813224691568,0.0042321839062091
54,BANANA,14.059535038844825,0.0264738377288451
55,BAR,15.44739661074687,2.367730736040305
56,BAX,23.53152651799768,0.0001698049103546
57,BBANK,14.059535038844825,0.0555834235927956
58,BCA,-7.191656554767593,0.28994441049671
59,BCN,13.843807815531887,4.36809526947473e-05
60,BDP,16.045996706926477,0.1721264387456883
61,BEAM,14.059535038844825,0.0154755701057632
62,BETA,7.587681382098379,0.063154854429973
63,BF,22.69668400312243,0.0009261297145763
64,BGB,-5.307574671373159,0.5180703015983351
65,BICO,16.045996706926477,0.3181056542769905
66,BIDR,-1.544634375128899,6.489208508330539e-05
67,BIOT,20.247132158908176,0.0010193162066638
68,BITCOIN,14.059535038844825,0.136261466716677
69,BLOK,14.059535038844825,0.0026035464300951
70,BLP,16.045996706926477,0.0829664233887166
71,BLT,16.045996706926477,0.0302661531627056
72,BMX,16.102754338110948,0.1609261362240052
73,BNX,-1.582939905849779,0.3007249546551491
74,BOND,17.39853700659334,3.968019444440181
75,BONE,14.059535038844825,0.7359424050494776
76,BONK,16.045996706926477,8.084704175978893e-06
77,BOO,-5.307574671373159,0.7113614893504961
78,BORA,10.15065750554982,0.1456410839799826
79,BOSON,16.418076711152494,0.284406889867809
80,BRICK,-5.155534578937258,0.0682980708783916
81,BRISE,16.045996706926477,2.709770530827515e-07
82,BRWL,19.12815374687224,0.0047390655410668
83,BSCPAD,16.471236226555234,0.2001063487322635
84,BSCS,14.059535038844825,0.0164525042181957
85,BST,13.726637103596952,0.3970225831684386
86,BSV,16.40084275371624,51.56451086264166
87,BSW,13.84530445873856,0.0926508647424486
88,BTC,13.9379369203474,43675.992692172775
89,BTCB,13.947944528283744,43726.359694798935
90,BTCST,21.55175572926889,0.3452151932128289
91,BTM,-6.995225392625639,0.0094469375463818
92,BTRST,14.059535038844825,0.6014382452776845
93,BTSE,10.222543489298571,0.8774208360394499
94,BTT,16.418031066511148,5.037387324433326e-07
95,BTTOLD,16.508287494998587,0.0004829000807488
96,BURGER,14.059535038844825,0.5364033192734361
97,BUSD,0.3856230642165441,1.0001742946955836
98,BUY,13.940965636584558,0.0308923314682982
99,BWO,-5.29712040730843,0.067335511489741
100,BXC,14.059535038844825,4385.703575763601
101,BZZ,-1.486835220826516,0.3836040972669646
102,BabyDoge,16.045996706926477,1.390306159346538e-09
103,C98,13.872906323871357,0.2127058177655744
104,CAKE,13.79513502954028,2.4928551298549304
105,CAS,14.060916812819826,0.0054216958084306
106,CAST,13.873064456624776,0.1148519591324026
107,CBETH,13.824708019725673,2399.199050335682
108,CBG,1.9183047493735657,0.19540120867728
109,CBK,13.862871428307823,0.934436793868368
110,CBX,-5.309225722703064,0.0272878229271886
111,CCD,-7.191656554767593,0.0049227053987194
112,CCT,-1.3996351522558563,0.2061531281848501
113,CFG,13.695174418160748,0.7181515212812122
114,CGG,16.56005401036447,0.0855867651708039
115,CHEEL,16.381442965917685,12.376728339850672
116,CHESS,-1.4293469559500611,0.1892871535694734
